UniqueID	Family	Loc	DTB	PTUtB	MPTUtB	DTF	PTUtF	MPTUtF	LfL	Main	Caul	Basal	Hi_Order	Branch	SIL_num	QTL3.44_BranchinH	QTL2.03_BranchinK	QTL5.25_BranchinN	QTL5.92_BranchinN	QTL4.03_LfLinH	QTL4.28_LfLinH	QTL5.82_LfLinH	QTL4.39_LfLinK	QTL4.73_LfLinK	QTL5.32_LfLinN	QTL3.39_LfLinV	QTL5.06_LfLinV	QTL5.90_LfLinV	QTL1.04_MPTUtBinH	QTL2.48_MPTUtBinH	QTL4.07_MPTUtBinH	QTL4.43_MPTUtBinH	QTL5.92_MPTUtBinH	QTL1.04_MPTUtBinK	QTL1.13_MPTUtBinK	QTL4.04_MPTUtBinK	QTL5.27_MPTUtBinK	QTL5.95_MPTUtBinK	QTL1.15_MPTUtBinN	QTL4.01_MPTUtBinN	QTL5.24_MPTUtBinN	QTL2.02_MPTUtBinV	QTL5.06_MPTUtBinV	QTL5.95_MPTUtBinV	QTL1.05_MPTUtFinH	QTL2.52_MPTUtFinH	QTL4.05_MPTUtFinH	QTL4.43_MPTUtFinH	QTL5.26_MPTUtFinH	QTL1.04_MPTUtFinK	QTL2.22_MPTUtFinK	QTL3.80_MPTUtFinK	QTL5.92_MPTUtFinK	QTL1.84_MPTUtFinN	QTL4.01_MPTUtFinN	QTL5.25_MPTUtFinN	QTL2.18_MPTUtFinV	QTL5.90_MPTUtFinV	QTL3.35_SIL_numinH	QTL4.54_SIL_numinH	QTL2.03_SIL_numinK	QTL1.04_SIL_numinN	QTL2.26_SIL_numinN	QTL5.26_SIL_numinN
An1(LerAn1)	Lan	N	32	5715.442862	2093.151971	44	6846.984027	2508.856526	11.2	0	0	0	0	0	0	6.7193	4.034	-0.0898	0.2337	20.3982	-6.9958	-27.8198	-2.5843	-4.9729	-6.5773	-16.4918	-1.0037	-10.1768	-140.111	-25.0882	-27.902	4.2047	-91.8587	23.0742	109.409	148.876	27.8875	-69.3981	-23.7878	-27.4335	16.6756	-81.5179	47.0312	-4.147	25.4437	-25.6025	49.6879	-65.3027	-114.842	-45.6226	-489.544	26.2515	-108.553	-17.3814	-26.2316	11.0912	-102.626	-122.392	201.81	-58.4926	168.155	-0.5794	0.2874	-0.2926
An1(LerAn1)	Lan	N	29	5487.017028	2009.490592	43	6846.984027	2508.856526	11.8	0	0	0	0	0	0	6.7193	4.034	-0.0898	0.2337	20.3982	-6.9958	-27.8198	-2.5843	-4.9729	-6.5773	-16.4918	-1.0037	-10.1768	-140.111	-25.0882	-27.902	4.2047	-91.8587	23.0742	109.409	148.876	27.8875	-69.3981	-23.7878	-27.4335	16.6756	-81.5179	47.0312	-4.147	25.4437	-25.6025	49.6879	-65.3027	-114.842	-45.6226	-489.544	26.2515	-108.553	-17.3814	-26.2316	11.0912	-102.626	-122.392	201.81	-58.4926	168.155	-0.5794	0.2874	-0.2926
An1(LerAn1)	Lan	N	34	6031.055815	2208.784515	43	6846.984027	2508.856526	12	0	0	0	0	0	0	6.7193	4.034	-0.0898	0.2337	20.3982	-6.9958	-27.8198	-2.5843	-4.9729	-6.5773	-16.4918	-1.0037	-10.1768	-140.111	-25.0882	-27.902	4.2047	-91.8587	23.0742	109.409	148.876	27.8875	-69.3981	-23.7878	-27.4335	16.6756	-81.5179	47.0312	-4.147	25.4437	-25.6025	49.6879	-65.3027	-114.842	-45.6226	-489.544	26.2515	-108.553	-17.3814	-26.2316	11.0912	-102.626	-122.392	201.81	-58.4926	168.155	-0.5794	0.2874	-0.2926
An1(LerAn1)	Lan	N	27	5259.521229	1926.17562	43	6846.984027	2508.856526	11.1	0	0	0	0	0	0	6.7193	4.034	-0.0898	0.2337	20.3982	-6.9958	-27.8198	-2.5843	-4.9729	-6.5773	-16.4918	-1.0037	-10.1768	-140.111	-25.0882	-27.902	4.2047	-91.8587	23.0742	109.409	148.876	27.8875	-69.3981	-23.7878	-27.4335	16.6756	-81.5179	47.0312	-4.147	25.4437	-25.6025	49.6879	-65.3027	-114.842	-45.6226	-489.544	26.2515	-108.553	-17.3814	-26.2316	11.0912	-102.626	-122.392	201.81	-58.4926	168.155	-0.5794	0.2874	-0.2926
An1(LerAn1)	Lan	N	36	6194.187303	2268.661266	44	6914.169041	2533.582156	13.4	1	0	0	0	1	11	6.7193	4.034	-0.0898	0.2337	20.3982	-6.9958	-27.8198	-2.5843	-4.9729	-6.5773	-16.4918	-1.0037	-10.1768	-140.111	-25.0882	-27.902	4.2047	-91.8587	23.0742	109.409	148.876	27.8875	-69.3981	-23.7878	-27.4335	16.6756	-81.5179	47.0312	-4.147	25.4437	-25.6025	49.6879	-65.3027	-114.842	-45.6226	-489.544	26.2515	-108.553	-17.3814	-26.2316	11.0912	-102.626	-122.392	201.81	-58.4926	168.155	-0.5794	0.2874	-0.2926
An1(LerAn1)	Lan	N	33	6031.055815	2208.784515	43	6914.169041	2533.582156	14.3	0	0	0	0	0	0	6.7193	4.034	-0.0898	0.2337	20.3982	-6.9958	-27.8198	-2.5843	-4.9729	-6.5773	-16.4918	-1.0037	-10.1768	-140.111	-25.0882	-27.902	4.2047	-91.8587	23.0742	109.409	148.876	27.8875	-69.3981	-23.7878	-27.4335	16.6756	-81.5179	47.0312	-4.147	25.4437	-25.6025	49.6879	-65.3027	-114.842	-45.6226	-489.544	26.2515	-108.553	-17.3814	-26.2316	11.0912	-102.626	-122.392	201.81	-58.4926	168.155	-0.5794	0.2874	-0.2926
An1(LerAn1)	Lan	N	30	5715.442862	2093.151971	38	6485.152381	2375.703376	12.7	0	0	0	0	0	0	6.7193	4.034	-0.0898	0.2337	20.3982	-6.9958	-27.8198	-2.5843	-4.9729	-6.5773	-16.4918	-1.0037	-10.1768	-140.111	-25.0882	-27.902	4.2047	-91.8587	23.0742	109.409	148.876	27.8875	-69.3981	-23.7878	-27.4335	16.6756	-81.5179	47.0312	-4.147	25.4437	-25.6025	49.6879	-65.3027	-114.842	-45.6226	-489.544	26.2515	-108.553	-17.3814	-26.2316	11.0912	-102.626	-122.392	201.81	-58.4926	168.155	-0.5794	0.2874	-0.2926
An1(LerAn1)	Lan	N	30	5715.442862	2093.151971	43	6914.169041	2533.582156	10.5	1	0	1	0	2	11	6.7193	4.034	-0.0898	0.2337	20.3982	-6.9958	-27.8198	-2.5843	-4.9729	-6.5773	-16.4918	-1.0037	-10.1768	-140.111	-25.0882	-27.902	4.2047	-91.8587	23.0742	109.409	148.876	27.8875	-69.3981	-23.7878	-27.4335	16.6756	-81.5179	47.0312	-4.147	25.4437	-25.6025	49.6879	-65.3027	-114.842	-45.6226	-489.544	26.2515	-108.553	-17.3814	-26.2316	11.0912	-102.626	-122.392	201.81	-58.4926	168.155	-0.5794	0.2874	-0.2926
An1(LerAn1)	Lan	N	45	7113.383366	2608.616232	62	7930.128366	2941.597467	10.8	0	0	0	0	0	0	6.7193	4.034	-0.0898	0.2337	20.3982	-6.9958	-27.8198	-2.5843	-4.9729	-6.5773	-16.4918	-1.0037	-10.1768	-140.111	-25.0882	-27.902	4.2047	-91.8587	23.0742	109.409	148.876	27.8875	-69.3981	-23.7878	-27.4335	16.6756	-81.5179	47.0312	-4.147	25.4437	-25.6025	49.6879	-65.3027	-114.842	-45.6226	-489.544	26.2515	-108.553	-17.3814	-26.2316	11.0912	-102.626	-122.392	201.81	-58.4926	168.155	-0.5794	0.2874	-0.2926
An1(LerAn1)	Lan	N	36	6485.152381	2375.703376	41	6914.169041	2533.582156	12	0	0	0	0	0	0	6.7193	4.034	-0.0898	0.2337	20.3982	-6.9958	-27.8198	-2.5843	-4.9729	-6.5773	-16.4918	-1.0037	-10.1768	-140.111	-25.0882	-27.902	4.2047	-91.8587	23.0742	109.409	148.876	27.8875	-69.3981	-23.7878	-27.4335	16.6756	-81.5179	47.0312	-4.147	25.4437	-25.6025	49.6879	-65.3027	-114.842	-45.6226	-489.544	26.2515	-108.553	-17.3814	-26.2316	11.0912	-102.626	-122.392	201.81	-58.4926	168.155	-0.5794	0.2874	-0.2926
